Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
116,6 Sep,,Mon,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,272–275,4,4,408–411,,Analysis of Dependent Origination,,,,,,,,,,
117,7 Sep,,Tue,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,276–280,5,4,412–415,,Analysis of Dependent Origination,,,,,,,,,,
118,8 Sep,,Wed,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,281–292,12,4,416–419,,Analysis of Dependent Origination,,,,,,,,,,
119,9 Sep,,Thu,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,293–305,12,4,420–423,,Analysis of Dependent Origination,,,,,,,,,,
120,10 Sep,,Fri,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,306–316,11,4,424–427,,Analysis of Dependent Origination,,,,,,,,,,
121,11 Sep,,Sat,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,317–327,11,4,428–431,,Analysis of Dependent Origination,,,,,,,,,,
122,12 Sep,,Sun,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,328–341,14,4,432–435,,Analysis of Dependent Origination,,,,,,,,,,
123,13 Sep,,Mon,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,342–354,13,4,436–439,,Analysis of Dependent Origination,,,,,,,,,,
124,14 Sep,"Days 124-126
The Analysis - Foundations of Mindfulness",Tue,Vibhaṅgapāḷi,7. Satipaṭṭhānavibhaṅgo,355–365,11,5,440–444,12,Analysis of the Foundations of Mindfulness,,,,,,,,,,
125,15 Sep,,Wed,Vibhaṅgapāḷi,7. Satipaṭṭhānavibhaṅgo,366–373,8,4,445–448,,Analysis of the Foundations of Mindfulness,,,,,,,,,,
126,16 Sep,,Thu,Vibhaṅgapāḷi,7. Satipaṭṭhānavibhaṅgo,374–389,16,4,449–452,,Analysis of the Foundations of Mindfulness,,,,,,,,,,
127,17 Sep,"Days 127-128
The Analysis - Right Exertions",Fri,Vibhaṅgapāḷi,8. Sammappadhānavibhaṅgo,390–412,23,4,453–456,13,Analysis of the Right Strivings,,,,,,,,,,
128,18 Sep,,Sat,Vibhaṅgapāḷi,8. Sammappadhānavibhaṅgo,413–429,17,3,457–459,,Analysis of the Right Strivings,,,,,,,,,,
129,19 Sep,"Days 129-130
The Analysis - Right Exertions",Sun,Vibhaṅgapāḷi,9. Iddhipādavibhaṅgo,430–446,17,5,460–464,14,Analysis of the Bases of Power,,,,,,,,,,
130,20 Sep,,Mon,Vibhaṅgapāḷi,9. Iddhipādavibhaṅgo,447–465,19,5,465–469,,Analysis of the Bases of Power,,,,,,,,,,
